market,funding_total_usd,status,country_code,founded_year,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_fincing,private_equity
News,1750000,acquired,USA,2012,1750000,0,0,0,0,0,0
Games,4000000,operating,USA,,0,4000000,0,0,0,0,0
Publishing,40000,operating,EST,2012,40000,0,0,0,0,0,0
Electronics,1500000,operating,GBR,2011,1500000,0,0,0,0,0,0
Tourism,60000,operating,USA,2014,0,0,60000,0,0,0,0
Software,7000000,,USA,2011,0,7000000,0,0,0,0,0
Advertising,4912393,closed,ARG,,0,0,0,4912393,0,0,0
CuratedWeb,2000000,operating,,2007,0,2000000,0,0,0,0,0
Software,,operating,USA,2010,0,0,0,0,0,0,0
Games,41250,operating,HKG,,41250,0,0,0,0,0,0
E-Commerce,40000,operating,CHL,2012,40000,0,0,0,0,0,0
Software,,operating,USA,,0,0,0,0,0,0,0
HealthandWellness,,operating,USA,1986,0,0,0,0,0,0,0
HealthandWellness,1750000,operating,USA,1984,0,0,0,0,1750000,0,0
RealEstate,,operating,USA,2013,0,0,0,0,0,0,0
Education,4400000,operating,GBR,2013,400000,4000000,0,0,0,0,0
E-Commerce,2050000,operating,USA,2001,0,0,0,0,0,2050000,0
Search,40000,operating,USA,2008,40000,0,0,0,0,0,0
Marketplaces,500000,acquired,,2009,500000,0,0,0,0,0,0
CuratedWeb,,operating,DEU,,0,0,0,0,0,0,0
CuratedWeb,2535000,acquired,USA,2010,15000,2520000,0,0,0,0,0
CuratedWeb,4962651,operating,USA,2008,0,3814772,0,0,0,1147879,0
Restaurants,4059079,operating,FRA,2010,522169,3536910,0,0,0,0,0
Media,10000000,operating,CHN,2009,0,10000000,0,0,0,0,0
Hospitality,3000000,operating,,,0,3000000,0,0,0,0,0
Education,4500000,operating,CHN,,0,4500000,0,0,0,0,0
HealthCareInformationTechnology,420000,operating,USA,2014,420000,0,0,0,0,0,0
Alytics,1250000,acquired,USA,2011,750000,500000,0,0,0,0,0
Software,35000000,operating,USA,2000,0,35000000,0,0,0,0,0
Fashion,,operating,CAN,2014,0,0,0,0,0,0,0
CuratedWeb,50000,closed,USA,2009,50000,0,0,0,0,0,0
MobileCommerce,1600000,operating,,2013,1600000,0,0,0,0,0,0
Mobility,100000,operating,AUS,2009,0,0,0,0,0,0,0
Electronics,,operating,USA,,0,0,0,0,0,0,0
Biotechnology,3000000,operating,USA,2012,0,0,0,0,0,3000000,0
Software,77500,operating,USA,2010,0,0,0,0,0,77500,0
Education,,operating,,,0,0,0,0,0,0,0
SocialTravel,20000000,operating,CHN,2011,0,20000000,0,0,0,0,0
EnterpriseSoftware,1800000,operating,USA,,0,1800000,0,0,0,0,0
PersolHealth,,operating,,,0,0,0,0,0,0,0
Sports,,operating,,2013,0,0,0,0,0,0,0
Sports,,operating,USA,2013,0,0,0,0,0,0,0
RealEstate,,operating,USA,2011,0,0,0,0,0,0,0
Mobile,270000,operating,AUS,2012,250000,0,0,0,0,0,0
Pharmaceuticals,794000,operating,USA,2011,69000,0,0,0,0,0,0
Advertising,650267,operating,,2012,500000,150267,0,0,0,0,0
SaaS,,operating,ROM,2008,0,0,0,0,0,0,0
Software,378812,operating,GBR,2013,378812,0,0,0,0,0,0
,130636,operating,FRA,2008,130636,0,0,0,0,0,0
Software,619494,operating,NLD,2010,0,0,0,0,0,0,0
E-Commerce,,acquired,USA,2012,0,0,0,0,0,0,0
Manufacturing,66450000,operating,USA,2007,0,63450000,0,0,0,0,0
E-Commerce,,operating,CHN,,0,0,0,0,0,0,0
Mobile,700000,operating,SWE,2010,700000,0,0,0,0,0,0
Advertising,5500000,operating,USA,2010,0,5500000,0,0,0,0,0
Entertainment,500000,operating,USA,2010,500000,0,0,0,0,0,0
Software,6204822,operating,CHN,,0,6204822,0,0,0,0,0
Software,3400000,operating,USA,2011,2200000,0,0,0,0,0,0
Games,200000,operating,,2011,200000,0,0,0,0,0,0
Software,199957,operating,USA,2006,0,199957,0,0,0,0,0
Games,50000,operating,USA,2009,0,0,0,0,0,0,0
,,operating,,2013,0,0,0,0,0,0,0
Software,14000000,acquired,USA,1990,0,14000000,0,0,0,0,0
Travel,84440319,operating,CHN,2004,0,84440319,0,0,0,0,0
Designers,2500000,operating,USA,,0,0,0,0,0,0,0
Fince,9478511,operating,CHN,2005,0,6230000,0,3248511,0,0,0
CuratedWeb,,closed,CHN,2006,0,0,0,0,0,0,0
Software,200000000,,RUS,1991,0,0,0,0,0,0,200000000
Education,40000,operating,DNK,2009,0,0,0,0,0,0,0
Lifestyle,,closed,USA,2006,0,0,0,0,0,0,0
Chat,,operating,IND,2012,0,0,0,0,0,0,0
FileSharing,,operating,SGP,2012,0,0,0,0,0,0,0
,40000,operating,NOR,,40000,0,0,0,0,0,0
CuratedWeb,43811,operating,,2009,0,0,0,0,0,31924,0
E-Commerce,50000,closed,USA,2008,50000,0,0,0,0,0,0
VideoChat,,operating,USA,2011,0,0,0,0,0,0,0
Software,1450000,operating,USA,2010,0,1450000,0,0,0,0,0
MobileHealth,2100000,operating,,2013,2100000,0,0,0,0,0,0
E-Commerce,4163132,operating,CHN,,0,4163132,0,0,0,0,0
MobileSecurity,170000,operating,,2013,170000,0,0,0,0,0,0
HealthandWellness,30000000,operating,USA,2002,0,30000000,0,0,0,0,0
SocialMedia,500000,operating,USA,2011,500000,0,0,0,0,0,0
Photography,,operating,DEU,2012,0,0,0,0,0,0,0
Fitness,2572969,operating,,,0,0,2572969,0,0,0,0
SalesandMarketing,,operating,,2009,0,0,0,0,0,0,0
,,operating,USA,2011,0,0,0,0,0,0,0
PredictiveAlytics,156000,operating,DEU,2013,156000,0,0,0,0,0,0
Manufacturing,30000,operating,USA,2011,0,30000,0,0,0,0,0
,,operating,USA,2012,0,0,0,0,0,0,0
FincialServices,10000000,,USA,2007,0,0,0,0,0,10000000,0
E-Commerce,117000000,operating,USA,2001,0,57000000,0,60000000,0,0,0
E-Commerce,750000,operating,USA,2009,0,0,0,0,0,0,0
,,operating,USA,2014,0,0,0,0,0,0,0
EnterpriseSoftware,1500000,operating,USA,2011,0,1500000,0,0,0,0,0
Games,1660000,operating,FRA,2000,0,1660000,0,0,0,0,0
,41250,operating,,2011,41250,0,0,0,0,0,0
,204189,operating,BEL,2010,204189,0,0,0,0,0,0
Biotechnology,150000,operating,USA,2000,0,150000,0,0,0,0,0
News,41000000,operating,USA,2008,0,35700000,0,0,0,5300000,0
Mobile,29750000,operating,IRL,2006,0,29750000,0,0,0,0,0
CuratedWeb,1236454,operating,ITA,2012,1236454,0,0,0,0,0,0
Art,2800000,operating,USA,2007,0,2800000,0,0,0,0,0
Manufacturing,1464128,operating,CHN,2004,0,0,0,0,0,0,0
E-Commerce,6369507,operating,IND,2012,0,6369507,0,0,0,0,0
BigData,5050000,operating,USA,2013,0,5050000,0,0,0,0,0
Software,2580000,operating,SWE,,0,2580000,0,0,0,0,0
HealthandWellness,325000000,operating,USA,,0,0,0,0,0,0,325000000
Software,100000000,operating,CHN,2009,0,0,0,0,0,0,0
Biotechnology,15034750,operating,USA,1998,0,12528500,0,0,0,2506250,0
Software,250000,operating,ISR,2010,250000,0,0,0,0,0,0
Software,1610541,operating,CHN,2005,0,0,0,1610541,0,0,0
Mobile,615000,operating,SGP,2009,0,615000,0,0,0,0,0
Biotechnology,111949900,operating,USA,2006,0,110549900,0,0,0,0,0
BloggingPlatforms,50000,operating,CAN,2011,50000,0,0,0,0,0,0
Sports,,operating,USA,2014,0,0,0,0,0,0,0
News,1209701,operating,SWE,,0,1024250,0,185451,0,0,0
RealEstate,,operating,,,0,0,0,0,0,0,0
Fince,3452941,closed,USA,,0,3452941,0,0,0,0,0
